year,RRMSE,RMSE,MAE,MSE,MAPE
2012,23.611270653793735,7.264400937817206,6.614797846476237,52.77152098535951,24.418408010571184
2013,21.725894086181803,7.83477123403118,6.196817725045341,61.38364028960247,18.068525871298284
2014,7.824392972949272,3.326857374069717,2.654260998680478,11.067979987402053,6.122448444841745
2015,15.697783607537971,6.396473063319163,5.101657576788039,40.91486764976763,12.104884361080853
2016,7.545150462411962,3.2171084400207954,2.5988385155087426,10.349786714853035,5.931194683160107
2017,12.136987558401763,5.253581757422477,4.263740721203031,27.60012128192224,9.741042992301274
2018,19.543220590494244,7.812635088438054,6.364861897059849,61.037267025093485,14.791943578462835
2019,7.42758192850007,3.2525734959279355,2.651603517078218,10.579234346412871,6.088676585089901
2020,12.014484267159215,4.843553514560473,3.525083015078589,23.460010648411114,9.701741957646426
total,14.409639320359238,5.765456799179291,4.4412957569909475,33.24049210320272,11.88542960938362
sd,5.923866015758316,1.8313035693965047,1.584798092589008,20.17056024516798,5.9201755570561545
